79.55.98.188 - - [Tue, 07 Jul 2015 07:26:46 GMT] "GET /themes/img/1.png HTTP/1.1" 200 168332 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:46 GMT] "GET /themes/img/img-2.png HTTP/1.1" 200 5195 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:46 GMT] "GET /themes/img/img-1.png HTTP/1.1" 200 4291 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:46 GMT] "GET /themes/img/img-3.png HTTP/1.1" 200 2120 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:46 GMT] "GET /themes/img/3.png HTTP/1.1" 200 127407 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:47 GMT] "GET /themes/img/glyphicons-halflings.png HTTP/1.1" 200 12799 "http://handsfreeleveler.com/themes/css/bootstrap.min.css" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:47 GMT] "GET /themes/img/logic.png HTTP/1.1" 200 13002 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:47 GMT] "GET /themes/img/any.png HTTP/1.1" 200 247966 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
79.55.98.188 - - [Tue, 07 Jul 2015 07:26:48 GMT] "GET /favicon.ico HTTP/1.1" 404 24 "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET / HTTP/1.1" 200 10340 "http://forum.botoflegends.com/topic/71087-leveling-bot/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/css/style.css HTTP/1.1" 200 7203 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/css/bootstrap-responsive.min.css HTTP/1.1" 200 17889 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/js/bootstrap.min.js HTTP/1.1" 200 25526 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 200 4041 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/css/bootstrap.min.css HTTP/1.1" 200 110196 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/js/jquery.easing-1.3.min.js HTTP/1.1" 200 3436 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/js/default.js HTTP/1.1" 200 975 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:52 GMT] "GET /themes/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:53 GMT] "GET /themes/img/logo1.png HTTP/1.1" 200 1597 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:53 GMT] "GET /themes/img/3.png HTTP/1.1" 200 127407 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
104.33.86.155 - - [Tue, 07 Jul 2015 08:03:53 GMT] "GET /themes/img/2.png HTTP/1.1" 200 46631 "http://www.handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
